TOP[Pa]	TIT[K]	Efficiency[-]	Net_sp_work[J/kgCO2]	TOT[K]
200000.000000	1570.000000	0.544200	677026.604000	828.566365	
200000.000000	1575.000000	0.545500	680427.199000	831.104415	
200000.000000	1580.000000	0.546700	683828.725000	833.639745	
200000.000000	1585.000000	0.547900	687227.992000	836.172603	
200000.000000	1590.000000	0.549100	690626.315000	838.702884	
200000.000000	1595.000000	0.550400	694025.010000	841.230490	
200000.000000	1600.000000	0.551600	697423.280000	843.755482	
200000.000000	1605.000000	0.552800	700821.076000	846.277864	
200000.000000	1610.000000	0.554000	704218.256000	848.797645	
200000.000000	1615.000000	0.555100	707615.630000	851.314769	
200000.000000	1620.000000	0.556300	711011.486000	853.829360	
200000.000000	1625.000000	0.557400	714428.448000	856.339675	
200000.000000	1630.000000	0.558600	717824.396000	858.848977	
200000.000000	1635.000000	0.559800	721219.854000	861.355676	
200000.000000	1640.000000	0.560900	724614.849000	863.859764	
200000.000000	1645.000000	0.562100	728009.367000	866.361246	
200000.000000	1650.000000	0.563200	731403.408000	868.860121	
200000.000000	1655.000000	0.564300	734796.958000	871.356393	
200000.000000	1660.000000	0.565500	738190.053000	873.850054	
200000.000000	1665.000000	0.566600	741582.654000	876.341113	
200000.000000	1670.000000	0.567700	744974.770000	878.829567	
200000.000000	1675.000000	0.568800	748365.107000	881.315477	
200000.000000	1680.000000	0.569900	751756.208000	883.798721	
200000.000000	1685.000000	0.571000	755146.798000	886.279368	
200000.000000	1690.000000	0.572100	758536.792000	888.757430	
200000.000000	1695.000000	0.573200	761926.610000	891.232832	
200000.000000	1700.000000	0.574300	765315.664000	893.705681	
200000.000000	1705.000000	0.575400	768704.224000	896.175928	
200000.000000	1710.000000	0.576400	772092.293000	898.643574	
200000.000000	1715.000000	0.577500	775479.848000	901.108620	
200000.000000	1720.000000	0.578500	778867.173000	903.571013	
200000.000000	1725.000000	0.579600	782253.505000	906.030923	
200000.000000	1730.000000	0.580600	785639.424000	908.488220	
200000.000000	1735.000000	0.581700	789024.823000	910.942922	
200000.000000	1740.000000	0.582700	792409.794000	913.395012	
200000.000000	1745.000000	0.583800	795771.826000	915.846049	
200000.000000	1750.000000	0.584800	799158.176000	918.292794	
200000.000000	1755.000000	0.585800	802544.092000	920.736943	
200000.000000	1760.000000	0.586800	805953.309000	923.176983	
200000.000000	1765.000000	0.587800	809328.171000	925.616502	
200000.000000	1770.000000	0.588300	813007.491000	928.034213	
200000.000000	1775.000000	0.588600	816727.462000	930.446904	
200000.000000	1780.000000	0.588900	820451.326000	932.857003	
200000.000000	1785.000000	0.589300	824179.105000	935.264514	
200000.000000	1790.000000	0.589600	827908.212000	937.670999	
200000.000000	1795.000000	0.589900	831643.784000	940.073404	
200000.000000	1800.000000	0.590200	835384.461000	942.472568	
200000.000000	1805.000000	0.590500	839128.031000	944.869826	
200000.000000	1810.000000	0.590800	842875.628000	947.264516	
200000.000000	1815.000000	0.591100	846627.280000	949.656642	
200000.000000	1820.000000	0.591400	850383.010000	952.046208	
200000.000000	1825.000000	0.591700	854142.843000	954.433217	
200000.000000	1830.000000	0.592000	857906.801000	956.817673	
200000.000000	1835.000000	0.592200	861674.909000	959.199579	
200000.000000	1840.000000	0.592500	865447.191000	961.578940	
200000.000000	1845.000000	0.592800	869223.672000	963.955759	
200000.000000	1850.000000	0.593000	873004.376000	966.330039	
200000.000000	1855.000000	0.593300	876789.327000	968.701786	
200000.000000	1860.000000	0.593500	880578.550000	971.071001	
200000.000000	1865.000000	0.593800	884372.070000	973.437690	
200000.000000	1870.000000	0.594000	888169.910000	975.801856	
200000.000000	1875.000000	0.594200	891972.097000	978.163502	
200000.000000	1880.000000	0.594500	895778.653000	980.522632	
200000.000000	1885.000000	0.594700	899589.606000	982.879251	
200000.000000	1890.000000	0.594900	903404.979000	985.233361	
200000.000000	1895.000000	0.595100	907224.797000	987.584967	
200000.000000	1900.000000	0.595300	911049.087000	989.934073	
200000.000000	1905.000000	0.595500	914876.354000	992.280709	
200000.000000	1910.000000	0.595700	918709.617000	994.624824	
200000.000000	1915.000000	0.595900	922547.430000	996.966394	
200000.000000	1920.000000	0.596100	926389.809000	999.305533	
200000.000000	1925.000000	0.596300	930236.785000	1001.642189	
200000.000000	1930.000000	0.596400	934094.250000	1003.978773	
200000.000000	1935.000000	0.596600	937950.691000	1006.310560	
200000.000000	1940.000000	0.596800	941811.816000	1008.639876	
200000.000000	1945.000000	0.596900	945677.646000	1010.966728	
200000.000000	1950.000000	0.597100	949548.209000	1013.291120	
200000.000000	1955.000000	0.597300	953423.530000	1015.613054	
200000.000000	1960.000000	0.597400	957303.636000	1017.932536	
200000.000000	1965.000000	0.597600	961188.553000	1020.249568	
200000.000000	1970.000000	0.597700	965078.307000	1022.564155	
200000.000000	1975.000000	0.597800	968972.927000	1024.876300	
